input,reference_sentence,predicted_label
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,A brown horse of a pink wearing a horse.
Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,I are playing a blue and white blast.
Three men posing in a tent.,Three men eating in a kitchen.,A man is talking a horse.
A close-up of a gray cat with green eyes.,A close-up of a cat on a cream sofa.,A girl in a stick in a baby.
A train is at a train station.,The train sits at the train station.,A little train is a black and white dog at a dog runs.
The train heads down the tracks and along the hedge.,a dog on the floor of a patio looks at a cat on the fence.,A grey from the grass.
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,A women into a red is running on a horse.
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",Three dogs in a green in a pot.
A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,a black dog is driving on a fence.
A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,A little horse riding a red shirt at a brown horse.
Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,Three dog sitting running play in his.
A red and white bus drives down an England street.,A red and white England bus drives down the street.,a young girl horse.
The birds are swimming in the water.,Birds fly low over water.,Two dogs in the beach.
A black dog looking at the camera.,The black and white bull is looking at the camera.,"A black dog running through the background, with the sand."
A group of horses grazing in a field.,Group of horses grazing in grassy field.,A group of a horse of people walking with green.
Several people on motorcycles in a market square.,People on motorbikes in a city street.,A train sits with a table.
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep on a dirt road shot from a car.,Two dogs are running are car on a sheep.
Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,The company and a woman with a bus at a baby to.
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,A little passenger girl in a large of a room.
Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,A woman are dancing in a car.
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,The man-l said he-old was.
Two women sitting outside laughing.,Two women standing outside of a bus.,Two women biting out of the floor.
A steam engine and train moving toward the camera.,A white sheep on a hillside looking at the camera.,A man and white cat in the camera.
A brown and white cow in a field looking into the camera.,The black and white cat is looking up at the camera.,A brown in the grass with the beach in the camera.
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,A white cat is sitting jumping on a bowl.
Home office space with bright green walls and artwork.,An office with multiple desks and green walls.,"H, and white cat in stage."
A black and white photo of a man driving a car and someone with a motorcycle.,A black and white photo of a man in a classic car and a man with a classic motorcycle.,The black and white standing in the camera.
Three people are by the water with yellow canoes.,Three people preparing to canoe.,Two people are dancing on a dining.
A girl in a riding hat on a horse.,A girl riding a tan horse.,A young girl woman in the water.
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,A man in a horse.
A very retro living room with a television in it.,A grey cat lying on a wooden table.,A baby in a dog is playing a kitchen through an bicycle.
A girl in a riding hat on a horse.,A girl riding a brown horse.,A young woman in a red in a red horse horse.
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,A dog is standing on a brown.
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,The man is carrying with a purple and a motorcycle and orange.
Two black and white dogs at the bottom of stairs.,A dog is lying at the bottom of a staircase next to another standing dog.,A black and white dog standing in the street.
An old fashioned wooden sailing ship in the ocean.,An old fashioned wooden sailing ship is parked at the pier.,The man people are all with the beach.
"A man sitting cross legged on the grass, with a tree in the background.",Ocean liner close to coast with houses in the background.,A man and woman is standing on a street.
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,A man is standing on a field.
Three goats are being rounded up by a dog.,Three goats are chased by a dog.,Three dogs outside wearing a tree.
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,Two dogs and a baby at a field.
A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,A black and white dog in a horse.
Train in a station.,a train in a station.,If walking.
A blue bird standing on a lawn.,Blue bird standing on green grass.,A man riding the ball in a red.
An empty office cubicle.,An empty office chair in a cubicle.,A puppyA large is carrying with a white road.
A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,A man and woman is running is standing in the.
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,A boy is putting on the water.
"A television, upholstered chair, and coffee stable in a bright room.",A leather couch and wooden table in a living room.,A boy in a baby.
Two cats sitting on a couch looking out the window.,Two cats are looking at a window.,Two women are standing in the grass.
The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,The dog standing running along the grass standing in the grass.
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,Two men in a brown dog is playing in a dirt.
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,A woman is dancing stands with a horse at the city in a bowl.
Home office space with bright green walls and artwork.,Small office space with bright green walls.,Gia president in a green US.
A green car parked at a saloon.,A green car parked outside the saloon.,A baby is cutting a baby.
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,Two people car a pool into water.
Two ducks are standing by the water.,The birds are swimming in the water.,Two men are standing on the sidewalk.
A black and white cow in a pen with hay.,Black and white cows behind a fence.,A black and white in a cat and white photo.
A man and woman are posing for the camera.,A cat sitting on sand looking up at the camera.,A man is playing a motorcycle.
A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,The white horse.
A yellow school bus parked in a field.,A brown horse in a green field.,A young small blue horse in the background.
An elderly man works on his laptop at home.,Older gentleman sitting on couch with laptop.,A man on a grass sheep bus of people are playing a beach.
The cat is sitting on a bag of cat food.,Two eagles sitting on a long branch.,A woman with an onion store.
A large pile of wooden items piled high.,A large pile of scrap wood.,A small dog runs on a potato.
A woman riding a brown horse.,A girl riding a brown horse.,A woman is cutting a yellow.
