input,reference_sentence,predicted_label
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,A man is slicing a man is riding a rifle.
Two black and white dogs at the bottom of stairs.,A dog is lying at the bottom of a staircase next to another standing dog.,Two black and white photo of a cat laying down.
An old fashioned wooden sailing ship in the ocean.,An old fashioned wooden sailing ship is parked at the pier.,A man is running through the water.
"A man sitting cross legged on the grass, with a tree in the background.",Ocean liner close to coast with houses in the background.,A man stands on his hands a red and yellow and a red pepper.
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,Two white dog jumping jumping in the snow.
Three goats are being rounded up by a dog.,Three goats are chased by a dog.,ThreeTwo little girl in a dogs in a blue sky in the snow.
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,A man is sitting on a tort.
A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,A black dog standing in the grass.
Train in a station.,a train in a station.,A boy with a bike.
A blue bird standing on a lawn.,Blue bird standing on green grass.,A monkey train sits.
An empty office cubicle.,An empty office chair in a cubicle.,A man is riding a dirt hill.
A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,A man and a man is standing in a black.
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,A young woman in an axe are parked in a field.
"A television, upholstered chair, and coffee stable in a bright room.",A leather couch and wooden table in a living room.,"The brown dog looking, a red shirt of a plastic board to a blue field of an inf, including."
Two cats sitting on a couch looking out the window.,Two cats are looking at a window.,Two women standing on a couch.
The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,A brown dog jumping and a white cow outside in the camera.
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,Two people sitting at a tree.
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,A man catches a dog is riding a brown dog in the beach.
Home office space with bright green walls and artwork.,Small office space with bright green walls.,"Tal and woman, occasionally, and it's not korea."
A green car parked at a saloon.,A green car parked outside the saloon.,A lion is moving.
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,A girl rode a table of a table with a table.
Two ducks are standing by the water.,The birds are swimming in the water.,Two dogs running in a grass.
A black and white cow in a pen with hay.,Black and white cows behind a fence.,A black and white photo of a white cow at a green grass.
A man and woman are posing for the camera.,A cat sitting on sand looking up at the camera.,A man and woman are wrestling walks the camera.
A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,A group of white horn down a street.
